Title,Efficiency,tandem,Year,reference
A hot carrier perovskite solar cell with efficiency exceeding 27% enabled by ultrafast hot hole transfer with phthalocyanine derivatives,27.3,single-junction,2024,"A hot carrier perovskite solar cell with efficiency exceeding 27% enabled by ultrafast hot hole transfer with phthalocyanine derivatives. Gong, SK; Qu, GP; Qiao, Y; Wen, YF; Huang, YL; Cai, SY; Zhang, LT; Jiang, K; Liu, S; Lin, M; Beard, MC; Xu, ZX; Chen, XH. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
High-Efficiency Inverted Perovskite Solar Cells via In Situ Passivation Directed Crystallization,26.7,single-junction,2024,"High-Efficiency Inverted Perovskite Solar Cells via In Situ Passivation Directed Crystallization. Huang, YC; Yan, KR; Wang, XJ; Li, B; Niu, BF; Yan, MX; Shen, ZQ; Zhou, K; Fang, YJ; Yu, XG; Chen, HZ; Zhang, LJ; Li, CZ. 2024. ADVANCED MATERIALS."
Buried interface molecular hybrid for inverted perovskite solar cells,26.54,single-junction,2024,"Buried interface molecular hybrid for inverted perovskite solar cells. Liu, SW; Li, JB; Xiao, WS; Chen, R; Sun, ZX; Zhang, Y; Lei, X; Hu, SF; Kober-Czerny, M; Wang, JN; Ren, FM; Zhou, QS; Raza, HS; Gao, Y; Ji, YT; Li, SB; Li, H; Qiu, LB; Huang, WC; Zhao, Y; Xu, BM; Liu, ZH; Snaith, HJ; Park, NG; Chen, W. 2024. NATURE."
Buried interface regulation for efficient and stable perovskite minimodules,26.51,single-junction,2025,"Buried interface regulation for efficient and stable perovskite minimodules. Xu, RY; Sun, YL; Dai, JF; Zhu, XY; Li, PZ; Cao, XR; Xi, J; Yuan, F; Zuo, CT; Ding, LM; Yang, YG; Li, JR; Xu, J; Jen, AKY; Wu, ZX; Dong, H. 2025. NANO ENERGY."
High-Efficiency Perovskite Solar Cells with Improved Interfacial Charge Extraction by Bridging Molecules,26.4,single-junction,2024,"High-Efficiency Perovskite Solar Cells with Improved Interfacial Charge Extraction by Bridging Molecules. Li, MH; Jiao, BX; Peng, YC; Zhou, JJ; Tan, LG; Ren, NY; Ye, YR; Liu, Y; Yang, Y; Chen, Y; Ding, LM; Yi, CY. 2024. ADVANCED MATERIALS."
Amidination of ligands for chemical and field-effect passivation stabilizes perovskite solar cells,26.3,single-junction,2024,"Amidination of ligands for chemical and field-effect passivation stabilizes perovskite solar cells. Yang, Y; Chen, H; Liu, C; Xu, J; Huang, CY; Malliakas, CD; Wan, HY; Bati, ASR; Wang, ZW; Reynolds, RP; Gilley, IW; Kitade, S; Wiggins, TE; Zeiske, S; Suragtkhuu, S; Batmunkh, M; Chen, LX; Chen, B; Kanatzidis, MG; Sargent, EH. 2024. SCIENCE."
Amorphous (lysine)<sub>2</sub>PbI<sub>2</sub> layer enhanced perovskite photovoltaics,26.27,single-junction,2024,"Amorphous (lysine)<sub>2</sub>PbI<sub>2</sub> layer enhanced perovskite photovoltaics. Wen, YH; Zhang, TC; Wang, XT; Liu, TT; Wang, Y; Zhang, R; Kan, M; Wan, L; Ning, WH; Wang, Y; Yang, DR. 2024. NATURE COMMUNICATIONS."
Trimming defective perovskite layer surfaces for high-performance solar cells,26.25,single-junction,2024,"Trimming defective perovskite layer surfaces for high-performance solar cells. Kim, C; Kim, K; Kim, Y; Tsvetkov, N; Jeon, NJ; Kang, BJ; Min, H. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Stereo-Hindrance Induced Conformal Self-Assembled Monolayer for High Efficiency Inverted Perovskite Solar Cells,26.25,single-junction,2024,"Stereo-Hindrance Induced Conformal Self-Assembled Monolayer for High Efficiency Inverted Perovskite Solar Cells. Su, ZR; Cui, MJ; Dong, BT; Zhang, YS; Ran, YB; Qi, GY; Yang, YG; Edvinsson, T; Hagfeldt, A; Jiang, L; Fan, QP; Ma, W; Liu, YH. 2024. SMALL."
Performance optimization of MA<sub>0.5</sub>FA<sub>0.5</sub>PbI<sub>3</sub>/CsPbI<sub>3</sub> based hybrid perovskite solar cell emphasizing on double absorber layer,26.21,single-junction,2024,"Performance optimization of MA<sub>0.5</sub>FA<sub>0.5</sub>PbI<sub>3</sub>/CsPbI<sub>3</sub> based hybrid perovskite solar cell emphasizing on double absorber layer. Kaur, J; Garg, S; Basu, R; Sharma, AK; Pandey, R; Madan, J; Saddullah, M. 2024. PHYSICA SCRIPTA."
Controlled Nucleation and Oriented Crystallization of Methylammonium-Free Perovskites via In Situ Generated 2D Perovskite Phases,26.16,single-junction,2024,"Controlled Nucleation and Oriented Crystallization of Methylammonium-Free Perovskites via In Situ Generated 2D Perovskite Phases. Gao, YP; Song, ZL; Fu, Q; Chen, Y; Yang, L; Hu, ZY; Chen, YS; Liu, YS. 2024. ADVANCED MATERIALS."
Improved charge extraction in inverted perovskite solar cells with dual-site-binding ligands,26.15,single-junction,2024,"Improved charge extraction in inverted perovskite solar cells with dual-site-binding ligands. Chen, H; Liu, C; Xu, J; Maxwell, A; Zhou, W; Yang, Y; Zhou, QL; Bati, ASR; Wan, HY; Wang, ZW; Zeng, LW; Wang, JK; Serles, P; Liu, Y; Teale, S; Liu, YJ; Saidaminov, MI; Li, MZ; Rolston, N; Hoogland, S; Filleter, T; Kanatzidis, MG; Chen, B; Ning, ZJ; Sargent, EH. 2024. SCIENCE."
In Situ Self-Elimination of Defects via Controlled Perovskite Crystallization Dynamics for High-Performance Solar Cells,26.12,single-junction,2023,"In Situ Self-Elimination of Defects via Controlled Perovskite Crystallization Dynamics for High-Performance Solar Cells. Wang, SQ; Yang, TH; Yang, YG; Du, YC; Huang, WL; Cheng, LW; Li, HJ; Wang, PJ; Wang, YJ; Zhang, Y; Ma, C; Liu, PC; Zhao, GT; Ding, ZC; Liu, SZ; Zhao, K. 2023. ADVANCED MATERIALS."
Interfacial band bending and suppressing deep level defects <i>via</i> Eu-MOF-mediated cathode buffer layer in an MA-free inverted perovskite solar cell with high fill factor,26.1,single-junction,2024,"Interfacial band bending and suppressing deep level defects <i>via</i> Eu-MOF-mediated cathode buffer layer in an MA-free inverted perovskite solar cell with high fill factor. Imran, T; Aziz, HS; Iftikhar, T; Ahmad, M; Xie, HB; Su, ZH; Yan, PG; Liu, ZH; Liang, GX; Chen, W; Chen, S. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Coherent growth of high-Miller-index facets enhances perovskite solar cells,26.1,single-junction,2024,"Coherent growth of high-Miller-index facets enhances perovskite solar cells. Li, SD; Xiao, Y; Su, R; Xu, WD; Luo, DY; Huang, PR; Dai, LJ; Chen, P; Caprioglio, P; Elmestekawy, KA; Dubajic, M; Chosy, C; Hu, JT; Habib, I; Dasgupta, A; Guo, DY; Boeije, Y; Zelewski, SJ; Lu, ZYC; Huang, TY; Li, QY; Wang, JM; Yan, HM; Chen, HH; Li, CS; Lewis, BAI; Wang, DK; Wu, J; Zhao, LC; Han, B; Wang, JP; Herz, LM; Durrant, JR; Novoselov, KS; Lu, ZH; Gong, QH; Stranks, SD; Snaith, HJ; Zhu, R. 2024. NATURE."
Bifunctional ligand-induced preferred crystal orientation enables highly efficient perovskite solar cells,26.1,single-junction,2024,"Bifunctional ligand-induced preferred crystal orientation enables highly efficient perovskite solar cells. Li, XC; Gao, S; Wu, X; Liu, Q; Zhu, LL; Wang, CY; Wang, YK; Liu, Z; Chen, WJ; Li, XY; Xiao, P; Huang, QP; Chen, T; Li, ZY; Gao, XY; Xiao, ZG; Lu, YL; Zeng, XC; Xiao, S; Zhu, ZL; Yang, SF. 2024. JOULE."
A Surface-Reconstructed Bilayer Heterojunction Enables Efficient and Stable Inverted Perovskite Solar Cells,26.1,single-junction,2024,"A Surface-Reconstructed Bilayer Heterojunction Enables Efficient and Stable Inverted Perovskite Solar Cells. Zhu, XL; Li, MB; Mo, KW; Yang, M; Li, S; Yang, YJ; Wang, HJ; Li, RM; Liu, Y; Lin, QQ; Wang, ZP. 2024. ADVANCED MATERIALS."
<i>peri</i>-Fused polyaromatic molecular contacts for perovskite solar cells,26.1,single-junction,2024,"<i>peri</i>-Fused polyaromatic molecular contacts for perovskite solar cells. Zhao, K; Liu, QQ; Yao, LB; Deger, C; Shen, JH; Zhang, X; Shi, PJ; Tian, Y; Luo, YX; Xu, JZ; Zhou, JJ; Jin, DE; Wang, SS; Fan, W; Zhang, SC; Chu, SL; Wang, XN; Tian, LW; Liu, RZ; Zhang, L; Yavuz, I; Wang, HF; Yang, DR; Wang, R; Xue, JJ. 2024. NATURE."
Efficient and stable inverted perovskite solar cells enabled by homogenized PCBM with enhanced electron transport,26.1,single-junction,2024,"Efficient and stable inverted perovskite solar cells enabled by homogenized PCBM with enhanced electron transport. Gong, C; Li, HY; Xu, ZY; Li, YH; Wang, HX; Zhuang, QX; Wang, AW; Li, ZJ; Guo, ZH; Zhang, C; Wang, BQ; Li, X; Zang, ZG. 2024. NATURE COMMUNICATIONS."
Synergy Between Dynamic Behavior of Hydrogen Defects and Non-Radiative Recombination in Metal-Halide Perovskites,26.1,single-junction,2024,"Synergy Between Dynamic Behavior of Hydrogen Defects and Non-Radiative Recombination in Metal-Halide Perovskites. Zhou, WC; Zhou, RK; Chen, XQ; Zhou, ZX; He, YC; Qian, C; Yan, H; Zheng, ZL; Zhang, YZ; Yan, H. 2024. SMALL."
Highly Efficient and Scalable p-i-n Perovskite Solar Cells Enabled by Poly-metallocene Interfaces,26.08,single-junction,2024,"Highly Efficient and Scalable p-i-n Perovskite Solar Cells Enabled by Poly-metallocene Interfaces. Li, B; Gao, DP; Sheppard, SA; Tremlett, WDJ; Liu, Q; Li, Z; White, AJP; Brown, RK; Sun, XL; Gong, JQ; Li, S; Zhang, SF; Wu, X; Zhao, D; Zhang, CL; Wang, Y; Zeng, XC; Zhu, ZL; Long, NJ. 2024. JOURNAL OF THE AMERICAN CHEMICAL SOCIETY."
Controlled growth of perovskite layers with volatile alkylammonium chlorides,26.08,single-junction,2023,"Controlled growth of perovskite layers with volatile alkylammonium chlorides. Park, J; Kim, J; Yun, HS; Paik, MJ; Noh, E; Mun, HJ; Kim, MG; Shin, TJ; Seok, SI. 2023. NATURE."
Anion-p interactions suppress phase impurities in FAPbI<sub>3</sub> solar cells,26.07,single-junction,2023,"Anion-p interactions suppress phase impurities in FAPbI<sub>3</sub> solar cells. Huang, ZJ; Bai, Y; Huang, XD; Li, JT; Wu, YT; Chen, YH; Li, KL; Niu, XX; Li, NX; Liu, GL; Zhang, Y; Zai, HC; Chen, Q; Lei, T; Wang, LF; Zhou, HP. 2023. NATURE."
Spin-Coated and Vacuum-Processed Hole-Extracting Self-Assembled Multilayers with H-Aggregation for High-Performance Inverted Perovskite Solar Cells,26.07,single-junction,2024,"Spin-Coated and Vacuum-Processed Hole-Extracting Self-Assembled Multilayers with H-Aggregation for High-Performance Inverted Perovskite Solar Cells. Jiang, WL; Wang, D; Shang, WS; Li, YX; Zeng, J; Zhu, PD; Zhang, BS; Mei, L; Chen, XK; Xu, ZX; Lin, FR; Xu, BM; Jen, AKY. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Homologous Molecule Treatment in Perovskite Solar Cells: Synergistic Management of Holistic Defect and Charge Transfer,26.06,single-junction,2024,"Homologous Molecule Treatment in Perovskite Solar Cells: Synergistic Management of Holistic Defect and Charge Transfer. Zhou, N; Shen, YH; Zeng, ZX; Ke, LY; Kong, FC; Cao, C; Chow, PCY; Tsang, SW; Jen, AKY; Yip, HL. 2024. ADVANCED FUNCTIONAL MATERIALS."
A Universal Ternary Solvent System of Surface Passivator Enables Perovskite Solar Cells with Efficiency Exceeding 26%,26.05,single-junction,2024,"A Universal Ternary Solvent System of Surface Passivator Enables Perovskite Solar Cells with Efficiency Exceeding 26%. Zhang, Q; Huang, H; Yang, YY; Wang, M; Qu, SJ; Lan, ZE; Jiang, TT; Wang, ZW; Du, SX; Lu, Y; Suo, Y; Cui, P; Li, MC. 2024. ADVANCED MATERIALS."
Ultrafine SnO2 colloids with enhanced interface quality for high-efficiency perovskite solar cells,26.05,single-junction,2024,"Ultrafine SnO2 colloids with enhanced interface quality for high-efficiency perovskite solar cells. Paik, MJ; Kim, YY; Kim, J; Park, J; Seok, SI. 2024. JOULE."
Silver coordination-induced n-doping of PCBM for stable and efficient inverted perovskite solar cells,26.03,single-junction,2024,"Silver coordination-induced n-doping of PCBM for stable and efficient inverted perovskite solar cells. Gong, C; Li, HY; Wang, HX; Zhang, C; Zhuang, QX; Wang, AW; Xu, ZY; Cai, WS; Li, R; Li, X; Zang, ZG. 2024. NATURE COMMUNICATIONS."
Tin oxide as an electron transport layer in perovskite solar cells: Advances and challenges,26,single-junction,2024,"Tin oxide as an electron transport layer in perovskite solar cells: Advances and challenges. Wali, Q; Aamir, M; Khan, ME; Jose, R; Fan, W; Yang, SY. 2024. SOLAR ENERGY."
Quantum barriers engineering toward radiative and stable perovskite photovoltaic devices,26,single-junction,2024,"Quantum barriers engineering toward radiative and stable perovskite photovoltaic devices. Yeom, KM; Cho, CS; Jung, EH; Kim, G; Moon, CS; Park, SY; Kim, SH; Woo, MY; Khayyat, MNT; Lee, WH; Jeon, NJ; Anaya, M; Stranks, SD; Friend, RH; Greenham, NC; Noh, JH. 2024. NATURE COMMUNICATIONS."
Embedded current collectors for efficient large area perovskite solar cells,26,single-junction,2022,"Embedded current collectors for efficient large area perovskite solar cells. Duarte, VCM; Ivanou, D; Bernardo, G; Andrade, L; Mendes, A. 2022. INTERNATIONAL JOURNAL OF ENERGY RESEARCH."
Revealing and Inhibiting the Facet-related Ion Migration for Efficient and Stable Perovskite Solar Cells,26,single-junction,2024,"Revealing and Inhibiting the Facet-related Ion Migration for Efficient and Stable Perovskite Solar Cells. Qu, SJ; Huang, H; Wang, JH; Cui, P; Li, YY; Wang, M; Li, L; Yang, F; Sun, CX; Zhang, Q; Zhu, PK; Wang, Y; Li, MC. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Surface Planarization-Epitaxial Growth Enables Uniform 2D/3D Heterojunctions for Efficient and Stable Perovskite Solar Modules,25.97,single-junction,2025,"Surface Planarization-Epitaxial Growth Enables Uniform 2D/3D Heterojunctions for Efficient and Stable Perovskite Solar Modules. Lin, DX; Fang, J; Li, SB; Zhan, ZY; Li, H; Wang, X; Xie, GS; Wang, DZ; Huang, NS; Peng, HC; Xie, WG; Ono, LK; Qi, YB; Qiu, LB. 2025. ADVANCED SCIENCE."
Removal of Residual Additive Enabling Perfect Crystallization of Photovoltaic Perovskites,25.95,single-junction,2024,"Removal of Residual Additive Enabling Perfect Crystallization of Photovoltaic Perovskites. Bian, ZK; Su, ZH; Lou, YH; Chen, J; Jin, RJ; Chen, CH; Xia, Y; Huang, L; Wang, KL; Gao, XY; Wang, ZK. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Cross-Linkable Fullerene Electron Transport Layer with Internal Encapsulation Capability for Efficient and Stable Inverted Perovskite Solar Cells,25.89,single-junction,2024,"Cross-Linkable Fullerene Electron Transport Layer with Internal Encapsulation Capability for Efficient and Stable Inverted Perovskite Solar Cells. Hou, EL; Cheng, S; Qiu, YJ; Chen, XY; Chen, JF; Sun, C; Zhang, H; Yang, JX; Zhao, XJ; Xie, LQ; Chen, ZC; Tian, CB; Wei, ZH. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Enhancing Hole Transport Uniformity for Efficient Inverted Perovskite Solar Cells through Optimizing Buried Interface Contacts and Suppressing Interface Recombination,25.87,single-junction,2024,"Enhancing Hole Transport Uniformity for Efficient Inverted Perovskite Solar Cells through Optimizing Buried Interface Contacts and Suppressing Interface Recombination. He, XL; Chen, H; Yang, JB; Wang, T; Pu, XY; Feng, GP; Jia, SY; Bai, YJ; Zhou, ZH; Cao, Q; Li, XH. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Inverted perovskite solar cells using dimethylacridine-based dopants,25.86,single-junction,2023,"Inverted perovskite solar cells using dimethylacridine-based dopants. Tan, Q; Li, ZN; Luo, GF; Zhang, XS; Che, B; Chen, GC; Gao, H; He, D; Ma, GQ; Wang, JF; Xiu, JW; Yi, HQ; Chen, T; He, ZB. 2023. NATURE."
Metastable interphase induced pre-strain compensation enables efficient and stable perovskite solar cells,25.83,single-junction,2025,"Metastable interphase induced pre-strain compensation enables efficient and stable perovskite solar cells. Xu, HY; Xiao, Y; Elmestekawy, KA; Caprioglio, P; Li, QY; Zhong, QX; Ji, YQ; Huang, TY; Yan, HM; Yang, YG; Herz, LM; Gong, QH; Snaith, HJ; Zhu, R; Zhao, LC. 2025. ENERGY & ENVIRONMENTAL SCIENCE."
Surface Lattice Engineering Enables Efficient Inverted Perovskite Solar Cells,25.82,single-junction,2024,"Surface Lattice Engineering Enables Efficient Inverted Perovskite Solar Cells. Zhang, TC; Liu, TT; Wang, XT; Zhou, YH; Wen, YH; Li, JH; Bao, CQ; Wan, L; Yu, XG; Ning, WH; Wang, Y; Yang, DR. 2024. ADVANCED ENERGY MATERIALS."
Unraveling the Molecular Size Effect on Surface Engineering of Perovskite Solar Cells,25.81,single-junction,2024,"Unraveling the Molecular Size Effect on Surface Engineering of Perovskite Solar Cells. Wang, JY; Wu, YL; Zhao, J; Lu, SD; Lu, JY; Sun, JQ; Wu, S; Zheng, XP; Zheng, X; Tang, X; Ma, MM; Yue, SZ; Liu, K; Wang, ZJ; Qu, SC. 2024. SMALL METHODS."
Bridged Carbolong Modulating Interfacial Charge Transfer Enhancement for High-Performance Inverted Perovskite Solar Cells,25.8,single-junction,2024,"Bridged Carbolong Modulating Interfacial Charge Transfer Enhancement for High-Performance Inverted Perovskite Solar Cells. Yang, Y; Chen, SY; Dai, ZY; Wei, H; Wan, SY; Chen, Y; Sun, JH; Liu, Z; Ding, LM; Xia, HP; Chen, RH; Wang, HQ. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Stabilizing doped Spiro-OMeTAD with an organic molten salt for efficient and stable perovskite solar cells,25.8,single-junction,2024,"Stabilizing doped Spiro-OMeTAD with an organic molten salt for efficient and stable perovskite solar cells. Pan, TF; Li, ZW; Ren, BY; Yang, W; Ran, XQ; Li, YJ; Xu, YT; Wang, Y; Li, DL; Xia, YD; Gao, XY; Chao, LF; Chen, YH. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Three-Dimensional (3D) Fluoride Molecular Glue to Improve the SnO<sub>2</sub>/Perovskite Interface for Efficient Perovskite Solar Cells,25.8,single-junction,2024,"Three-Dimensional (3D) Fluoride Molecular Glue to Improve the SnO<sub>2</sub>/Perovskite Interface for Efficient Perovskite Solar Cells. Chen, ZJ; Jiang, SY; Du, XJ; Li, YM; Shi, JJ; Tian, FB; Wu, HJ; Luo, YH; Li, DM; Meng, QB. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Conjugated polymers of an oxa[5]helicene-derived polycyclic heteroaromatic: tailoring energy levels and compatibility for high-performance perovskite solar cells,25.8,single-junction,2024,"Conjugated polymers of an oxa[5]helicene-derived polycyclic heteroaromatic: tailoring energy levels and compatibility for high-performance perovskite solar cells. Cai, YH; Zhang, YY; Fang, LY; Ren, YT; Zhang, JD; Yuan, Y; Zhang, J; Wang, P. 2024. CHEMICAL SCIENCE."
Synergistic Modulation of Orientation and Steric Hindrance Induced by Alkyl Chain Length in Ammonium Salt Passivator Toward High-performance Inverted Perovskite Solar Cells and Modules,25.79,single-junction,2025,"Synergistic Modulation of Orientation and Steric Hindrance Induced by Alkyl Chain Length in Ammonium Salt Passivator Toward High-performance Inverted Perovskite Solar Cells and Modules. Gao, WH; Ding, JK; Ma, QX; Zhang, H; Zhang, JJ; Zhang, ZL; Li, MJ; Wang, Y; Zhang, BX; Pauporté, T; Tang, JX; Chen, JZ; Chen, C. 2025. ADVANCED MATERIALS."
Efficient and Stable p-i-n Perovskite Solar Cells Enabled by In Situ Functional Group Conversion,25.79,single-junction,2024,"Efficient and Stable p-i-n Perovskite Solar Cells Enabled by In Situ Functional Group Conversion. Liu, MC; Zhang, JY; Qin, SC; Miao, XD; Yuan, M; Liu, Z; Wang, YY; Feng, YS; Jiang, X; Wu, RH; Yi, YP; Meng, L; Li, YF. 2024. JOURNAL OF THE AMERICAN CHEMICAL SOCIETY."
Lead Free Two-Dimensional Mixed Tin and Germanium Halide Perovskites for Photovoltaic Applications,25.76,single-junction,2021,"Lead Free Two-Dimensional Mixed Tin and Germanium Halide Perovskites for Photovoltaic Applications. Kar, M; Sarkar, R; Pal, S; Sarkar, P. 2021. JOURNAL OF PHYSICAL CHEMISTRY C."
Cascade Reaction in Organic Hole Transport Layer Enables Efficient Perovskite Solar Cells,25.76,single-junction,2024,"Cascade Reaction in Organic Hole Transport Layer Enables Efficient Perovskite Solar Cells. Lan, ZN; Huang, H; Du, SX; Lu, Y; Sun, CX; Yang, YY; Zhang, Q; Suo, Y; Qu, SJ; Wang, M; Wang, XX; Yan, LY; Cui, P; Zhao, ZG; Li, MC. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Compatible Soft-Templated Deposition and Surface Molecular Bridge Construction of SnO<sub>2</sub> Enable Air-Fabricated Perovskite Solar Cells with Efficiency Exceeding 25.7%,25.74,single-junction,2024,"Compatible Soft-Templated Deposition and Surface Molecular Bridge Construction of SnO<sub>2</sub> Enable Air-Fabricated Perovskite Solar Cells with Efficiency Exceeding 25.7%. Yang, YY; Huang, H; Yan, LY; Cui, P; Lan, ZE; Sun, CX; Du, SX; Wang, XX; Yao, CM; Qu, SJ; Zhang, Q; Wang, M; Zhao, X; Li, MC. 2024. ADVANCED ENERGY MATERIALS."
Controllable Heavy <i>n-</i>type Behaviours in Inverted Perovskite Solar Cells with Non-Conjugated Passivants,25.74,single-junction,2024,"Controllable Heavy <i>n-</i>type Behaviours in Inverted Perovskite Solar Cells with Non-Conjugated Passivants. Guan, HW; Wu, J; Yang, DB; Xie, LS; Zhang, WF; Shan, JH; Wang, ZQ; Meng, YY; Zhu, JT; Chen, F; Zhou, YB; Ge, ZY. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Reconstruction of Electron-Selective Interface via Multifunctional Chemical Bridging Enables High-Performance Rigid and Flexible Perovskite Solar Cells,25.73,single-junction,2024,"Reconstruction of Electron-Selective Interface via Multifunctional Chemical Bridging Enables High-Performance Rigid and Flexible Perovskite Solar Cells. Tang, XD; Shao, BY; Li, B; Li, M; Jiang, LL; Abulikemu, M; Zhu, HW; Xia, JX; Bakr, OM; Liu, HR. 2024. ACS ENERGY LETTERS."
Localized Oxidation Embellishing Strategy Enables High-Performance Perovskite Solar Cells,25.72,single-junction,2024,"Localized Oxidation Embellishing Strategy Enables High-Performance Perovskite Solar Cells. Liu, MC; Wang, YY; Lu, CX; Zhu, C; Liu, Z; Zhang, JY; Yuan, M; Feng, YS; Jiang, X; Li, SG; Meng, L; Li, YF. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Fabricating α-FAPbI<sub>3</sub> Perovskite Photovoltaics in Ambient Air by DMSO Extraction,25.71,single-junction,2024,"Fabricating α-FAPbI<sub>3</sub> Perovskite Photovoltaics in Ambient Air by DMSO Extraction. Liu, Y; Ding, B; Ding, Y; Zhang, G; Zhang, X; Ma, XT; Wang, Y; Zeng, LR; Liu, MJ; Yang, GJ; Nazeeruddin, MK; Chen, B. 2024. ACS ENERGY LETTERS."
Multifunctional Action Site Strategy of a Buried Interface for High-Performance Perovskite Solar Cells,25.71,single-junction,2024,"Multifunctional Action Site Strategy of a Buried Interface for High-Performance Perovskite Solar Cells. Tang, Y; Zhang, ZH; Liu, HR; Yang, F; Yang, J; Yang, YG; Liu, YF; Li, M. 2024. ACS PHOTONICS."
Sustainable Molecular Passivation via Heat-Induced Disaggregation and Redox Reactions for Inverted Perovskite Solar Cells,25.71,single-junction,2024,"Sustainable Molecular Passivation via Heat-Induced Disaggregation and Redox Reactions for Inverted Perovskite Solar Cells. Li, ZY; Sun, AX; Tian, CC; Zhuang, RS; Zheng, YT; Wu, XL; Ouyang, BL; Du, JJ; Cai, JY; Chen, JL; Xue, T; Li, R; Cen, TT; Zhao, YY; Zhao, KB; Chen, QW; Chen, CC. 2024. ACS ENERGY LETTERS."
A Homopolymer of Xanthenoxanthene-Based Polycyclic Heteroaromatic for Efficient and Stable Perovskite Solar Cells,25.7,single-junction,2024,"A Homopolymer of Xanthenoxanthene-Based Polycyclic Heteroaromatic for Efficient and Stable Perovskite Solar Cells. Cai, YH; Zhang, YY; Zhang, J; Pan, X; Andersson, MR; Wang, P. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
